timestamp_utc,attack_uid,attack_id,mitre_ics,component,event_type,source
2026-05-02T18:30:42Z,D-T0814-20,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:30:58Z,D-T0860-20,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T19:32:37Z,D-T0809-1,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:32:45Z,D-T0814-1,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:38:53Z,D-T0809-1,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:38:59Z,D-T0814-1,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:43:05Z,D-T0809-1,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:43:11Z,D-T0814-1,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:43:18Z,D-T0860-1,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:43:31Z,D-T0809-2,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:43:38Z,D-T0814-2,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:43:44Z,D-T0860-2,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:43:58Z,D-T0809-3,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:44:05Z,D-T0814-3,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:44:11Z,D-T0860-3,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:44:25Z,D-T0809-4,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:44:31Z,D-T0814-4,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:44:38Z,D-T0860-4,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:44:53Z,D-T0809-5,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:45:00Z,D-T0814-5,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:45:08Z,D-T0860-5,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:45:24Z,D-T0809-6,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:45:31Z,D-T0814-6,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:45:40Z,D-T0860-6,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:45:54Z,D-T0809-7,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:46:01Z,D-T0814-7,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:46:08Z,D-T0860-7,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:46:21Z,D-T0809-8,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:46:28Z,D-T0814-8,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:46:35Z,D-T0860-8,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:46:49Z,D-T0809-9,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:46:56Z,D-T0814-9,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:47:03Z,D-T0860-9,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:47:16Z,D-T0809-10,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:47:25Z,D-T0814-10,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:47:32Z,D-T0860-10,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:47:48Z,D-T0809-11,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:47:56Z,D-T0814-11,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:48:03Z,D-T0860-11,T0860,T0860,,,wazuh_localfile_json
2026-05-02T19:48:17Z,D-T0809-12,T0809,T0809,,,wazuh_localfile_json
2026-05-02T19:48:25Z,D-T0814-12,T0814,T0814,,,wazuh_localfile_json
2026-05-02T19:48:33Z,D-T0860-12,T0860,T0860,,,wazuh_localfile_json
