attack_uid,target_host,host,item,key,itemid,value_type,samples,min_value,avg_value,max_value,last_value,first_clock,last_clock,first_utc,last_utc,source
D-T0809-15,mqtt-broker,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,81,0.00012183189392089844,0.000201,0.00034308433532714844,0.00014472007751464844,1777751266,1777751666,2026-05-02T19:47:46Z,2026-05-02T19:54:26Z,history.get
D-T0809-15,mqtt-broker,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,81,1.0,1.0,1.0,1.0,1777751263,1777751663,2026-05-02T19:47:43Z,2026-05-02T19:54:23Z,history.get
D-T0809-15,mqtt-broker,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,81,0.0001,0.000169,0.0003273487091064453,0.00012993812561035156,1777751264,1777751664,2026-05-02T19:47:44Z,2026-05-02T19:54:24Z,history.get
D-T0809-15,mqtt-broker,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,81,1.0,1.0,1.0,1.0,1777751262,1777751662,2026-05-02T19:47:42Z,2026-05-02T19:54:22Z,history.get
D-T0809-15,mqtt-broker,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,81,0.0001,0.000162,0.0003979206085205078,0.0001385211944580078,1777751263,1777751663,2026-05-02T19:47:43Z,2026-05-02T19:54:23Z,history.get
D-T0809-15,mqtt-broker,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,81,1.0,1.0,1.0,1.0,1777751264,1777751664,2026-05-02T19:47:44Z,2026-05-02T19:54:24Z,history.get
D-T0809-15,mqtt-broker,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,81,0.0001,0.00017,0.0002732276916503906,0.0001659393310546875,1777751265,1777751665,2026-05-02T19:47:45Z,2026-05-02T19:54:25Z,history.get
D-T0814-15,telemetry-api,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,80,1.0,1.0,1.0,1.0,1777751270,1777751665,2026-05-02T19:47:50Z,2026-05-02T19:54:25Z,history.get
D-T0814-15,telemetry-api,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,80,0.00012183189392089844,0.0002,0.00034308433532714844,0.00014472007751464844,1777751271,1777751666,2026-05-02T19:47:51Z,2026-05-02T19:54:26Z,history.get
D-T0814-15,telemetry-api,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,80,1.0,1.0,1.0,1.0,1777751268,1777751663,2026-05-02T19:47:48Z,2026-05-02T19:54:23Z,history.get
D-T0814-15,telemetry-api,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,80,0.0001,0.000168,0.0003273487091064453,0.00012993812561035156,1777751269,1777751664,2026-05-02T19:47:49Z,2026-05-02T19:54:24Z,history.get
D-T0814-15,telemetry-api,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,79,1.0,1.0,1.0,1.0,1777751272,1777751662,2026-05-02T19:47:52Z,2026-05-02T19:54:22Z,history.get
D-T0814-15,telemetry-api,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,80,0.0001,0.000161,0.0003979206085205078,0.0001385211944580078,1777751268,1777751663,2026-05-02T19:47:48Z,2026-05-02T19:54:23Z,history.get
D-T0814-15,telemetry-api,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,80,1.0,1.0,1.0,1.0,1777751269,1777751664,2026-05-02T19:47:49Z,2026-05-02T19:54:24Z,history.get
