timestamp_utc,scenario_id,execution_id,iteration,attack_id,technique_id,source,target,event_type,severity,metric_name,metric_value,unit,zabbix_itemid,zabbix_event_id,wazuh_alert_id,correlation_window_seconds,dataset_source,raw_file,raw_row_hash
2026-05-02T19:44:11Z,SCENARIO_D,D-T0860-3,3,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,aa50e0ca36f6dac1
2026-05-02T19:44:25Z,SCENARIO_D,D-T0809-4,4,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,f1b86334e912f6f2
2026-05-02T19:44:31Z,SCENARIO_D,D-T0814-4,4,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,6ab225c9bf1fdb37
2026-05-02T19:44:38Z,SCENARIO_D,D-T0860-4,4,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,22e74abf6b246781
2026-05-02T19:44:53Z,SCENARIO_D,D-T0809-5,5,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,ca53035a4921c150
2026-05-02T19:45:00Z,SCENARIO_D,D-T0814-5,5,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,b8fa5dfee5b4f550
2026-05-02T19:45:08Z,SCENARIO_D,D-T0860-5,5,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,dcb07f38f9ce43e3
2026-05-02T19:45:24Z,SCENARIO_D,D-T0809-6,6,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,ce9c815f10fd94b7
2026-05-02T19:45:31Z,SCENARIO_D,D-T0814-6,6,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,93ad72ba2afd88a8
2026-05-02T19:45:40Z,SCENARIO_D,D-T0860-6,6,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,f0d46016f0609139
2026-05-02T19:45:54Z,SCENARIO_D,D-T0809-7,7,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,a8b5116e67a4841a
2026-05-02T19:46:01Z,SCENARIO_D,D-T0814-7,7,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,07abff295cc64a95
2026-05-02T19:46:08Z,SCENARIO_D,D-T0860-7,7,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,b642f54f7965560b
2026-05-02T19:46:21Z,SCENARIO_D,D-T0809-8,8,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,d265ae0111d8e6ad
